# (dyne/cm2) (K)     (cm2/s)  from CIRA
Pressure	Temp	Kzz
7.8257e-03	265	5.0000e+05
9.0287e-03	265	5.0000e+05
1.0428e-02	265	5.0000e+05
1.2057e-02	265	5.0000e+05
1.3956e-02	265	5.0000e+05
1.6168e-02	265	5.0000e+05
1.8750e-02	265	5.0000e+05
2.1763e-02	265	5.0000e+05
2.5283e-02	265	5.0000e+05
2.9396e-02	265	5.0000e+05
3.4206e-02	265	5.0000e+05
3.9834e-02	265	5.0000e+05
4.6421e-02	265	5.0000e+05
5.4135e-02	265	5.0000e+05
6.3173e-02	265	5.0000e+05
7.3768e-02	265	5.0000e+05
8.6193e-02	265	5.0000e+05
1.0077e-01	265	5.0000e+05
1.1788e-01	265	5.0000e+05
1.3797e-01	265	5.0000e+05
1.6156e-01	265	5.0000e+05
1.8927e-01	265	5.0000e+05
2.2185e-01	265	5.0000e+05
2.6013e-01	265	5.0000e+05
3.0515e-01	265	5.0000e+05
3.5809e-01	265	5.0000e+05
4.2036e-01	265	5.0000e+05
4.9362e-01	265	5.0000e+05
5.7985e-01	265	5.0000e+05
6.8141e-01	265	5.0000e+05
8.0114e-01	265	5.0000e+05
9.4250e-01	265	5.0000e+05
1.1097e+00	265	5.0000e+05
1.3082e+00	265	5.0000e+05
1.5443e+00	265	5.0000e+05
1.8265e+00	265	5.0000e+05
2.1648e+00	265	5.0000e+05
2.5718e+00	265	5.0000e+05
3.0632e+00	265	5.0000e+05
3.6581e+00	265	5.0000e+05
4.3804e+00	265	5.0000e+05
5.2594e+00	265	5.0000e+05
6.3310e+00	265	5.0000e+05
7.6397e+00	265	5.0000e+05
9.2399e+00	265	5.0000e+05
1.1199e+01	265	5.0000e+05
1.3598e+01	265	5.0000e+05
1.6540e+01	265	5.0000e+05
2.0148e+01	265	5.0000e+05
2.4576e+01	265	5.0000e+05
3.0013e+01	265	5.0000e+05
3.6691e+01	265	5.0000e+05
4.4896e+01	265	5.0000e+05
5.4982e+01	265	5.0000e+05
6.7383e+01	265	5.0000e+05
8.2636e+01	265	5.0000e+05
1.0140e+02	265	5.0000e+05
1.2450e+02	265	5.0000e+05
1.5294e+02	265	5.0000e+05
1.8796e+02	265	5.0000e+05
2.3110e+02	265	5.0000e+05
2.8427e+02	265	5.0000e+05
3.4980e+02	265	5.0000e+05
4.3062e+02	265	5.0000e+05
5.3030e+02	265	5.0000e+05
6.5330e+02	265	5.0000e+05
8.0511e+02	265	5.0000e+05
9.9254e+02	265	5.0000e+05
1.2240e+03	265	5.0000e+05
1.5100e+03	265	5.0000e+05
1.8635e+03	265	5.0000e+05
2.3004e+03	265	5.0000e+05
2.8407e+03	265	5.0000e+05
3.5091e+03	265	5.0000e+05
4.3362e+03	265	5.0000e+05
5.3599e+03	265	5.0000e+05
6.6276e+03	265	5.0000e+05
8.1977e+03	265	5.0000e+05
1.0143e+04	265	5.0000e+05
1.2554e+04	265	5.0000e+05
1.5544e+04	265	5.0000e+05
1.9252e+04	265	5.0000e+05
2.3852e+04	265	5.0000e+05
2.9497e+04	269	5.0000e+05
3.6270e+04	278	5.0000e+05
4.4322e+04	287	5.0000e+05
5.3989e+04	294	5.0000e+05
6.5726e+04	301	5.0000e+05
8.0101e+04	306	5.0000e+05
9.7830e+04	311	5.0000e+05
1.1983e+05	316	5.0000e+05
1.4726e+05	321	5.0000e+05
1.8165e+05	326	5.0000e+05
2.2487e+05	331	5.0000e+05
2.7950e+05	337	5.0000e+05
3.4886e+05	342	5.0000e+05
4.3732e+05	348	5.0000e+05
5.5061e+05	354	5.0000e+05
6.9629e+05	360	5.0000e+05
8.8433e+05	366	5.0000e+05
1.0000e+06	370	5.0000e+05
2.0000e+06	389.62	5.0000e+05
3.0000e+06	400.55	5.0000e+05
4.0000e+06	408.30	5.0000e+05
5.0000e+06	414.31	5.0000e+05
6.0000e+06	419.22	5.0000e+05
7.0000e+06	423.38	5.0000e+05
8.0000e+06	426.98	5.0000e+05
9.0000e+06	430.15	5.0000e+05
1.0000e+07	432.98	5.0000e+05
